view_cnt,where_cnt,attend_cnt,volunteer_cnt,history_cnt,festival_cnt,standard,block,expense,expense_f,difficulty,intention,history,history_f,festival,festival_f,sex,age,education,married,work,income,sido,disabled
2,15,15,0,0,0,5,6,17,15,6,1,2,4,2,5,1,3,3,2,1,5,1,1
6,0,0,0,2,0,2,1,14,14,2,1,1,5,2,5,1,3,4,1,1,3,1,1
5,0,0,0,0,0,1,1,14,7,2,2,2,6,2,5,1,2,4,1,5,4,1,1
7,0,0,0,0,1,1,2,14,14,2,1,2,6,1,6,2,6,3,3,3,3,1,1
21,4,4,0,3,0,5,2,14,14,2,1,1,6,2,6,1,4,4,2,1,5,1,1
28,14,0,0,0,0,2,2,14,14,6,2,2,4,2,5,1,2,3,1,1,2,1,1
20,1,0,0,1,0,2,1,14,14,2,2,1,6,2,6,1,5,4,2,1,5,1,1
7,0,0,0,2,1,2,1,7,14,6,2,1,6,1,5,2,4,4,2,1,7,1,1
4,2,2,5,0,2,6,1,14,14,1,2,2,4,1,5,2,5,3,2,5,3,1,1
19,25,2,0,5,2,2,1,16,16,2,1,1,7,1,6,1,6,4,2,2,7,1,1
16,0,0,0,2,1,3,3,14,14,2,2,1,6,1,6,1,5,4,1,1,4,1,1
15,0,0,0,1,0,2,1,9,9,2,1,1,6,2,7,2,5,4,2,1,6,1,1
8,9,0,0,1,1,3,2,14,9,2,1,1,5,1,6,2,3,4,2,5,4,1,1
32,0,0,0,0,0,3,3,8,14,3,2,2,7,2,6,2,5,3,2,1,6,1,1
9,4,4,0,0,1,1,1,14,12,2,1,2,6,1,7,2,4,3,2,1,5,1,1
23,0,0,0,2,0,6,1,14,12,2,2,1,6,2,6,1,2,3,1,1,5,1,1
41,10,10,0,4,0,1,1,14,15,1,1,1,7,2,4,2,5,4,2,1,5,1,1
20,11,11,0,2,2,1,1,12,8,1,1,1,5,1,6,2,3,4,2,1,6,1,1
20,8,0,0,0,2,3,2,14,14,2,2,2,5,1,6,1,2,4,1,1,3,1,1
37,13,3,0,0,3,3,1,14,14,1,1,2,5,1,6,1,2,4,1,1,3,1,1
24,0,0,0,2,4,1,1,17,15,2,2,1,6,1,5,1,5,4,2,2,7,1,1
0,0,0,0,2,1,1,3,17,14,2,2,1,6,1,5,1,7,2,2,3,2,1,1
0,2,2,0,2,1,3,3,17,9,2,1,1,6,1,6,1,7,2,2,1,2,1,1
3,1,0,0,0,0,5,6,17,11,6,1,2,4,2,4,1,6,2,2,3,3,1,2
9,5,0,0,3,2,3,1,14,9,1,1,1,5,1,5,2,4,3,2,1,4,1,1
24,0,0,0,0,0,5,2,14,14,2,2,2,4,2,5,1,2,3,1,5,3,1,1
7,0,0,0,1,2,1,1,17,15,2,1,1,5,1,5,2,5,3,2,1,3,1,1
0,0,0,0,1,1,2,1,17,8,1,1,1,7,1,7,2,5,3,2,1,7,1,1
0,2,1,0,1,1,2,1,17,14,1,1,1,5,1,5,2,5,3,2,3,3,1,1
3,2,1,0,2,2,2,2,17,14,1,1,1,5,1,5,1,7,3,2,5,3,1,1
5,2,2,0,0,0,2,2,1,14,4,1,2,5,2,5,1,5,3,3,1,2,1,2
0,50,1,0,0,0,3,1,17,14,6,1,2,5,2,4,1,7,2,3,3,2,1,1
1,0,0,0,2,1,4,2,17,7,2,1,1,7,1,7,1,5,4,2,2,7,1,1
31,0,0,0,0,2,7,1,17,5,5,2,2,5,1,5,1,5,4,2,1,5,1,1
3,2,2,0,1,1,9,2,17,14,2,1,1,7,1,7,1,6,3,2,3,7,1,1
32,1,1,0,1,0,9,2,17,14,2,1,1,4,2,3,2,5,3,2,3,7,1,1
14,0,0,0,0,0,1,1,17,12,2,2,2,5,2,5,1,6,3,2,3,5,1,1
25,0,0,0,0,4,1,1,17,14,3,2,2,5,1,6,2,7,1,3,5,2,1,1
0,0,0,0,0,0,1,2,17,8,2,2,2,4,2,4,1,5,3,2,1,4,1,1
5,0,0,0,2,0,1,2,17,14,1,1,1,5,2,5,1,6,3,2,3,7,1,1
0,0,0,0,0,0,1,3,17,2,3,2,2,4,2,3,1,2,3,1,5,7,1,1
4,0,0,0,0,1,1,8,17,17,2,2,2,4,1,4,1,6,3,2,3,3,1,1
15,2,0,0,0,0,4,6,17,9,7,2,2,4,2,4,1,3,3,3,1,2,1,1
5,3,3,0,1,0,5,6,17,14,6,1,1,7,2,4,2,6,3,2,1,5,1,1
3,0,0,0,0,0,8,7,17,14,7,2,2,3,2,3,1,7,3,3,5,1,1,1
60,1,1,0,1,2,9,1,17,8,7,1,1,7,1,6,2,7,3,3,5,2,1,1
0,0,0,0,0,2,9,2,17,17,1,2,2,5,1,6,2,7,1,3,5,1,1,1
5,10,0,0,0,2,1,1,15,9,1,2,2,4,1,4,2,5,3,2,5,3,1,1
5,0,0,0,2,0,1,6,17,15,3,2,1,4,2,4,1,7,1,3,1,1,1,1
2,6,2,4,2,2,2,1,17,8,3,1,1,7,1,7,2,6,3,2,5,5,1,1
35,0,0,0,1,1,2,4,17,11,1,2,1,6,1,5,1,7,2,3,5,2,1,1
4,0,0,0,1,1,2,6,17,15,6,2,1,7,1,7,1,6,3,2,1,4,1,1
3,4,0,0,0,0,6,2,17,14,1,1,2,4,2,5,1,5,3,2,3,6,1,1
12,0,0,0,2,3,1,1,7,7,1,1,1,5,1,5,2,5,3,2,1,7,1,1
5,1,0,0,2,2,1,1,17,17,6,2,1,4,1,4,1,7,2,3,1,2,1,1
30,0,0,0,0,0,1,2,17,14,2,2,2,4,2,4,1,5,3,3,1,3,1,1
10,0,0,0,2,4,1,2,7,7,2,2,1,5,1,4,1,7,3,2,1,3,1,1
12,0,0,0,0,0,1,2,17,14,2,2,2,4,2,4,1,4,3,2,3,7,1,1
4,0,0,0,2,0,1,2,17,9,2,2,1,5,2,6,2,5,3,2,1,4,1,1
13,0,0,0,2,0,1,2,17,17,2,2,1,6,2,6,2,5,3,2,3,2,1,1
0,0,0,0,0,0,1,3,17,17,2,2,2,6,2,6,1,4,4,2,1,5,1,2
0,0,0,0,1,0,1,3,17,17,3,2,1,6,2,3,2,7,1,2,1,3,1,1
40,0,0,0,0,4,1,3,17,14,2,2,2,5,1,6,1,6,2,2,1,5,1,1
5,2,0,0,2,2,1,3,8,8,6,2,1,4,1,4,1,6,3,2,1,2,1,1
11,5,0,0,0,0,1,4,17,11,3,1,2,3,2,4,1,7,3,3,1,2,1,1
0,0,0,0,0,0,1,5,17,17,3,2,2,4,2,4,1,2,3,1,5,7,1,1
10,1,1,0,0,0,1,6,17,11,2,1,2,6,2,4,1,7,3,2,5,2,1,1
9,0,0,0,0,0,1,6,7,10,1,2,2,4,2,4,1,5,4,2,5,7,1,1
9,0,0,0,0,0,1,6,7,1,1,2,2,4,2,4,2,5,4,2,5,5,1,1
2,0,0,0,6,4,1,8,17,1,3,2,1,6,1,5,1,7,4,2,5,5,1,1
0,0,0,0,3,0,2,1,17,14,7,1,1,6,2,6,1,7,1,2,1,3,1,1
0,0,0,0,2,0,2,1,17,17,6,2,1,6,2,4,2,7,2,2,5,3,1,1
1,11,0,0,0,0,2,1,17,17,1,2,2,4,2,3,2,6,1,3,5,1,1,1
12,0,0,0,1,0,2,1,17,14,3,2,1,6,2,5,1,6,2,2,5,3,1,1
5,0,0,0,0,0,2,1,17,10,2,2,2,4,2,5,1,6,3,2,1,2,1,1
6,0,0,0,1,0,2,1,17,10,2,2,1,6,2,6,1,7,3,2,1,4,1,1
1,0,0,0,2,0,2,1,17,7,1,2,1,6,2,6,1,7,4,2,5,2,1,1
20,0,0,0,1,1,2,1,17,7,6,1,1,7,1,7,1,7,3,2,1,7,1,1
8,0,0,0,6,3,2,1,7,7,1,1,1,4,1,4,2,7,3,3,2,4,1,1
8,0,0,0,2,3,2,1,17,11,1,2,1,5,1,5,1,7,2,2,5,2,1,1
18,0,0,0,4,2,2,1,17,14,1,1,1,5,1,4,1,5,3,2,2,5,1,1
58,105,0,0,2,0,2,1,17,17,1,1,1,6,2,7,2,7,2,3,5,3,1,1
1,0,0,0,1,0,2,1,17,14,1,1,1,5,2,5,1,5,3,2,1,5,1,1
1,0,0,0,0,1,2,2,17,14,2,2,2,4,1,5,1,6,2,2,1,3,1,1
20,0,0,0,1,0,2,2,17,8,6,1,1,7,2,7,1,1,1,1,5,7,1,1
4,0,0,0,2,0,2,2,17,9,2,2,1,5,2,6,2,5,3,2,1,4,1,1
0,0,0,0,0,0,2,3,17,17,8,2,2,5,2,5,2,7,2,2,5,3,1,1
10,20,4,0,0,1,2,3,17,17,7,1,2,5,1,5,2,7,1,3,5,1,1,1
6,0,0,0,0,1,2,3,17,14,2,2,2,4,1,3,1,5,4,2,2,5,1,1
1,0,0,0,1,0,2,3,17,14,1,2,1,6,2,6,1,6,3,2,1,3,1,1
1,0,0,0,0,0,2,3,17,2,2,2,2,4,2,3,1,5,3,2,2,5,1,1
2,0,0,0,0,0,2,3,17,14,8,2,2,4,2,3,1,4,4,2,1,5,1,1
6,2,0,0,2,2,2,3,17,17,6,2,1,4,1,5,2,6,3,2,5,4,1,1
8,5,2,0,1,0,2,3,17,17,1,2,1,6,2,5,1,3,4,1,1,4,1,1
10,2,1,0,3,2,2,3,17,14,1,2,1,5,1,4,1,4,4,2,1,5,1,1
9,5,2,0,1,0,2,3,7,7,1,2,1,6,2,5,1,3,4,2,1,4,1,1
3,0,0,0,1,2,2,3,17,1,7,2,1,4,1,4,2,5,3,2,1,4,1,1
0,2,0,0,0,0,2,4,17,9,8,2,2,4,2,4,1,6,3,2,3,3,1,1
14,0,0,0,2,0,2,6,17,4,3,2,1,3,2,3,1,7,2,2,5,3,1,1
1,0,0,0,0,0,2,6,17,17,2,2,2,4,2,4,1,7,3,2,1,4,1,1
20,0,0,0,0,4,3,1,17,14,3,2,2,5,1,5,2,7,2,2,5,3,1,1
3,0,0,0,0,1,3,1,7,17,8,2,2,4,1,4,1,4,3,2,1,3,1,1
0,10,0,0,0,0,3,2,17,1,3,1,2,4,2,5,2,6,3,2,1,3,1,1
0,0,0,0,3,0,3,2,17,9,2,2,1,5,2,4,2,7,2,2,5,3,1,1
50,0,0,0,1,0,3,2,17,8,3,2,1,4,2,4,2,5,3,3,3,6,1,1
10,2,2,0,2,3,3,3,17,12,6,1,1,6,1,6,1,7,2,2,5,2,1,1
30,0,0,0,0,1,3,3,17,14,2,2,2,5,1,6,1,5,3,2,3,5,1,1
6,2,2,0,2,3,3,3,8,6,6,2,1,4,1,5,2,3,4,2,3,6,1,1
0,5,0,0,0,0,3,8,17,14,4,1,2,5,2,5,2,7,3,2,5,2,1,1
9,0,0,0,2,0,4,3,17,15,1,2,1,6,2,5,2,6,2,3,3,3,1,1
30,0,0,0,1,0,4,7,17,7,7,1,1,7,2,7,1,4,4,3,1,4,1,1
4,0,0,0,3,2,5,1,17,15,2,1,1,4,1,5,2,7,3,3,4,3,1,1
8,0,0,0,2,3,5,1,7,7,2,1,1,5,1,4,1,4,3,2,1,7,1,1
7,0,0,0,2,0,5,1,17,14,1,1,1,5,2,5,2,6,3,3,1,2,1,1
11,0,0,0,4,3,7,1,7,7,7,1,1,5,1,5,1,6,3,3,1,4,1,1
16,0,0,0,1,2,7,2,17,14,3,2,1,6,1,5,1,4,4,1,1,4,1,1
104,62,0,0,2,0,7,3,17,17,7,2,1,7,2,6,1,6,4,2,5,4,1,1
5,0,0,0,1,0,9,2,17,14,2,1,1,7,2,7,2,5,3,2,1,7,1,1
5,5,1,0,2,0,9,2,17,1,2,1,1,5,2,5,1,4,3,2,1,5,1,1
53,2,0,0,1,1,9,2,17,11,2,1,1,7,1,7,2,6,4,2,3,7,1,1
20,1,1,0,1,1,9,2,17,14,2,1,1,7,1,7,1,5,3,2,3,6,1,1
116,0,0,0,5,0,9,2,17,17,2,2,1,7,2,5,1,5,4,2,3,6,1,1
7,2,0,0,2,0,9,3,1,1,5,1,1,4,2,3,1,3,4,2,1,4,1,1
40,1,1,0,0,1,9,6,17,17,3,1,2,7,1,6,2,5,3,2,5,5,1,1
1,20,0,0,2,1,9,6,17,17,1,1,1,5,1,6,2,5,3,2,5,4,1,1
0,0,0,0,2,2,9,7,17,17,3,2,1,4,1,4,2,7,1,2,5,2,1,1
50,2,2,0,1,2,9,7,17,8,7,1,1,7,1,6,2,6,3,3,1,4,1,1
32,1,1,0,0,1,9,7,17,17,6,1,2,7,1,7,2,7,3,3,5,2,1,1
70,0,0,0,1,0,9,7,17,7,7,1,1,7,2,6,2,4,4,1,1,6,1,1
5,0,0,0,1,0,9,7,17,16,6,2,1,4,2,4,2,6,3,2,5,4,1,1
11,0,0,0,0,1,1,1,15,17,1,2,2,4,1,4,2,7,1,3,5,1,1,2
3,0,0,0,0,0,1,1,15,17,1,2,2,2,2,2,2,4,3,3,1,3,1,1
11,1,0,0,0,0,2,2,15,9,3,2,2,4,2,3,1,7,2,3,5,1,1,1
5,0,0,0,0,1,2,2,15,17,6,2,2,4,1,4,1,7,1,2,5,3,1,3
2,0,0,0,0,0,3,1,15,14,3,2,2,4,2,4,2,5,3,2,4,5,1,1
11,0,0,0,0,0,3,1,15,15,7,2,2,4,2,4,1,7,1,2,5,2,1,1
11,10,0,0,0,0,5,4,17,15,3,1,2,4,2,4,2,7,3,2,1,3,1,1
5,12,0,0,0,2,5,5,15,11,7,2,2,3,1,2,2,6,1,2,5,2,1,1
