sex,education,income,married,work,age,exhibition_price,museum_price,art_price,traditional_price,theater_price,movie_price,performance_price,total_price
2,4,5,2,1,3,100000.0,50000.0,,,,,,150000
1,4,4,2,1,3,,20000.0,,,,200000.0,100000.0,320000
2,4,4,2,6,3,0.0,,,,,20000.0,130000.0,150000
1,4,5,2,1,4,,,,,,50000.0,,50000
2,4,5,2,6,4,,50000.0,,,,100000.0,,150000
1,4,3,3,1,5,,,,,,60000.0,,60000
1,3,5,2,1,4,,,,,100000.0,,,100000
2,3,5,2,3,4,,,100000.0,,,150000.0,,250000
1,4,3,2,1,3,,,,,,200000.0,,200000
2,4,3,2,6,3,,70000.0,,,,100000.0,,170000
1,3,3,2,1,6,,,,,,,,0
2,3,3,2,6,5,,,,,,,,0
1,4,4,2,1,3,,,,,,250000.0,,250000
2,4,4,2,6,3,,,,,,200000.0,,200000
1,4,4,2,1,4,,,,,,100000.0,,100000
2,4,4,2,6,4,,,,,,100000.0,,100000
1,4,4,2,1,4,,,,,,100000.0,,100000
2,4,4,2,6,4,,,,,,50000.0,,50000
1,4,5,2,1,3,,,,,,200000.0,300000.0,500000
2,4,5,2,1,2,150000.0,,,,,100000.0,,250000
1,4,4,2,1,4,,,,,,30000.0,,30000
2,4,4,2,1,4,,,,,,40000.0,,40000
1,3,4,2,3,5,,,,,,0.0,,0
2,3,4,2,6,5,,,,,,40000.0,,40000
1,4,4,2,1,4,,,,,,40000.0,60000.0,100000
2,4,4,2,1,4,,,,,,30000.0,50000.0,80000
1,4,5,2,3,6,,,,,,40000.0,,40000
2,4,5,2,1,6,,,,,,30000.0,,30000
1,4,5,2,3,6,,,,,,40000.0,,40000
2,4,5,2,1,6,,,,,,30000.0,,30000
1,4,4,2,1,4,,,,,,40000.0,40000.0,80000
2,4,4,2,1,4,,,,,,40000.0,60000.0,100000
1,4,5,2,1,5,,,,,,40000.0,,40000
2,4,5,2,6,5,,,,20000.0,50000.0,,,70000
1,3,3,2,6,7,,,,,,,,0
2,2,3,2,6,7,,,,,,,,0
1,4,4,2,1,4,,,,,,30000.0,,30000
2,4,4,2,1,4,,,,,,12000.0,,12000
1,4,4,2,1,4,,,,,,40000.0,110000.0,150000
2,4,4,2,1,4,,,,,,50000.0,110000.0,160000
1,4,5,2,1,4,,,,,,40000.0,,40000
2,4,5,2,1,4,,,,,,20000.0,,20000
1,4,3,2,3,7,,,,,,40000.0,,40000
2,3,3,2,6,7,,,,,,,,0
1,3,4,2,3,4,,,,,,40000.0,,40000
1,4,4,2,1,4,,,,,,40000.0,110000.0,150000
2,4,4,2,1,3,,,,,,45000.0,100000.0,145000
1,4,4,2,1,4,,,,,,40000.0,100000.0,140000
2,4,4,2,1,3,,,,,,20000.0,,20000
1,3,3,2,3,6,,,,,,40000.0,,40000
2,3,3,2,6,6,,,,,,30000.0,150000.0,180000
1,3,3,2,3,6,,,,,,40000.0,,40000
2,3,3,2,6,6,,,,,,40000.0,150000.0,190000
1,3,3,2,1,7,,,,,,30000.0,,30000
2,3,3,2,6,7,,,,,,30000.0,110000.0,140000
1,3,4,2,3,6,,,,,,40000.0,100000.0,140000
2,3,4,2,6,6,,,,,,40000.0,0.0,40000
1,3,4,2,2,6,,,,,30000.0,20000.0,,50000
2,3,4,2,6,6,,,,,,20000.0,,20000
1,3,3,2,1,7,,,,,,40000.0,,40000
2,3,3,2,6,7,,,,,,,,0
1,4,4,2,2,6,,,,,60000.0,40000.0,,100000
2,3,4,2,6,6,,,,,30000.0,40000.0,,70000
2,4,3,3,1,6,,,,,,40000.0,,40000
1,4,4,2,1,4,,50000.0,,,,40000.0,,90000
2,4,4,2,6,4,,50000.0,,,,40000.0,,90000
1,4,4,2,1,4,,,,,,40000.0,100000.0,140000
2,4,4,2,1,3,,,50000.0,,,40000.0,,90000
1,4,5,2,1,4,,50000.0,,,,40000.0,,90000
2,4,5,2,1,4,,50000.0,,,,40000.0,,90000
2,4,3,1,1,3,,,,,,30000.0,110000.0,140000
2,4,4,1,1,4,,,,,,30000.0,,30000
1,4,4,2,1,3,,,,,,40000.0,120000.0,160000
2,4,4,2,1,3,,,,,,40000.0,120000.0,160000
1,4,5,2,1,4,,,,,,30000.0,,30000
2,4,5,2,1,4,,,,,,30000.0,,30000
1,4,3,2,1,4,,,,,40000.0,30000.0,,70000
2,4,3,2,1,4,,,,,40000.0,30000.0,,70000
2,4,3,1,1,4,,,,,50000.0,30000.0,,80000
2,3,3,3,3,5,,,,,,40000.0,,40000
1,2,3,2,3,7,,,,,,30000.0,,30000
2,2,3,2,6,7,,,,,,,,0
1,4,4,2,1,5,,,,,,40000.0,,40000
2,4,4,2,6,5,,,,20000.0,50000.0,,,70000
1,4,3,3,2,6,,,,,,30000.0,,30000
1,4,3,3,1,5,,,,,,30000.0,100000.0,130000
1,4,4,2,1,4,,,,30000.0,,20000.0,,50000
2,4,4,2,6,4,,,,,,30000.0,70000.0,100000
1,3,4,2,1,4,20000.0,,,,,60000.0,,80000
2,3,4,2,6,4,20000.0,,,,,60000.0,,80000
1,3,4,2,2,6,,,,,60000.0,120000.0,,180000
2,4,4,2,6,6,,,,,,50000.0,100000.0,150000
1,4,3,2,1,6,,,,,40000.0,40000.0,,80000
2,3,3,2,6,6,,,,,,45000.0,120000.0,165000
2,4,3,3,2,7,,,,,,30000.0,100000.0,130000
1,4,4,2,1,4,,,,,50000.0,40000.0,,90000
2,4,4,2,6,4,,,,,40000.0,,,40000
1,4,4,2,1,6,,,,,,40000.0,,40000
2,3,4,2,6,5,,,,,,35000.0,,35000
2,4,3,3,2,5,,,,,,30000.0,110000.0,140000
2,4,3,1,1,3,,0.0,,,,45000.0,,45000
1,3,3,2,1,3,60000.0,,,,,50000.0,,110000
2,4,3,2,6,3,60000.0,,,,300000.0,100000.0,,460000
1,4,4,2,1,5,,,,,,36000.0,120000.0,156000
2,4,4,2,6,5,,,,,240000.0,60000.0,,300000
1,4,3,2,1,6,,,,,,150000.0,,150000
2,4,3,2,6,6,200000.0,,,,,,,200000
2,4,3,1,6,3,100000.0,50000.0,,,120000.0,200000.0,,470000
1,4,4,2,1,5,,,,,,,80000.0,80000
2,4,4,2,6,5,,,,,28000.0,100000.0,,128000
1,4,4,1,6,2,,,,,230000.0,160000.0,,390000
1,4,3,2,1,5,,100000.0,,,,0.0,,100000
2,4,3,2,6,5,,100000.0,,,100000.0,50000.0,300000.0,550000
1,3,3,1,6,1,,80000.0,,,0.0,0.0,,80000
2,3,3,3,1,4,,,,,,,,0
1,3,3,1,6,1,,,,,,120000.0,,120000
2,2,3,1,6,1,,,,,,73000.0,,73000
1,4,4,2,1,5,,,,,,80000.0,,80000
2,4,4,2,1,5,,60000.0,,,100000.0,,,160000
1,3,4,1,6,1,,,,,,100000.0,,100000
1,3,5,2,1,5,,,,,,120000.0,,120000
2,3,5,2,1,4,,,,,210000.0,0.0,,210000
1,4,5,1,6,2,180000.0,,,,120000.0,160000.0,0.0,460000
2,4,5,1,6,2,0.0,200000.0,0.0,,,200000.0,600000.0,1000000
1,3,6,2,1,5,,,,45000.0,80000.0,,,125000
2,4,6,2,6,5,0.0,,,100000.0,,80000.0,,180000
1,4,6,1,1,3,,,,,400000.0,180000.0,400000.0,980000
2,4,6,1,1,2,120000.0,,0.0,,100000.0,50000.0,120000.0,390000
2,4,3,1,1,2,,,,,,30000.0,,30000
2,4,3,1,1,2,,40000.0,,,,45000.0,,85000
2,2,3,3,3,7,,,,,,,,0
1,4,4,2,1,3,,,,,0.0,100000.0,,100000
2,4,4,2,6,3,,,45000.0,,300000.0,50000.0,,395000
2,3,3,3,3,6,,,,,,,,0
1,4,4,2,1,6,,,,,,15000.0,,15000
2,3,4,2,6,6,80000.0,,,,380000.0,50000.0,0.0,510000
2,4,3,1,1,3,0.0,,,,0.0,30000.0,,30000
1,3,3,3,3,7,,,,,,,,0
1,2,3,3,3,7,,,,,,,,0
1,3,2,2,6,7,,,,,30000.0,50000.0,,80000
2,3,2,2,6,6,,,,,30000.0,50000.0,,80000
1,3,5,2,1,3,60000.0,15000.0,,,,70000.0,,145000
2,4,5,2,1,3,,,150000.0,,,200000.0,,350000
2,2,3,3,3,7,,,,,,45000.0,0.0,45000
2,2,3,3,3,7,,,,,,15000.0,,15000
2,2,2,3,6,7,,,,,,,,0
1,2,2,3,6,7,,,,,,,,0
2,3,3,1,1,4,,,,,,,,0
2,3,3,1,1,3,,,,,,15000.0,,15000
2,3,3,1,1,4,,,,,,,,0
1,3,3,1,1,5,,,,,,,,0
1,3,3,3,1,6,,,,,,,,0
1,3,3,2,1,6,,200000.0,,0.0,,,,200000
2,3,3,2,6,6,,,,,,100000.0,,100000
1,4,5,2,1,3,,,,,,50000.0,300000.0,350000
2,4,5,2,1,2,,,,,,200000.0,,200000
1,4,3,2,1,3,,,,,300000.0,50000.0,100000.0,450000
2,4,3,2,6,3,,,,,,50000.0,,50000
1,4,3,2,1,3,,,,,,,,0
2,4,3,2,6,3,,,,,,,,0
1,4,3,2,1,4,,,,,,20000.0,,20000
2,4,3,2,6,4,,,,,,20000.0,,20000
2,4,3,3,3,7,,,,,,,,0
1,4,3,2,1,6,,,,,,,,0
2,3,3,2,6,6,,,,,,,,0
1,4,5,2,1,3,,,,,,150000.0,150000.0,300000
2,3,5,2,1,3,200000.0,,,,,,,200000
1,4,5,2,1,4,,,,,,200000.0,,200000
2,3,5,2,6,3,,,,,,30000.0,,30000
1,4,5,2,1,3,,,,,,70000.0,200000.0,270000
2,4,5,2,1,2,100000.0,,,,,30000.0,,130000
1,4,3,2,1,6,,,,,,12000.0,,12000
2,3,3,2,6,5,,,,,,,,0
1,4,3,2,3,4,,,,,50000.0,,,50000
1,4,4,2,1,3,,,,,,,,0
2,4,4,2,6,2,,,,,,20000.0,,20000
2,3,3,3,1,5,,,,,,,,0
2,4,3,1,1,3,,,,,,,,0
2,4,3,1,1,3,,,,,,20000.0,,20000
1,4,3,3,3,7,,,,,,,,0
1,4,5,2,1,4,,,,,,30000.0,,30000
2,4,5,2,6,3,,,,,,20000.0,,20000
1,4,5,2,1,4,,,,,,20000.0,,20000
2,4,5,2,6,4,,50000.0,,,,50000.0,,100000
1,4,3,2,1,3,,,,,,80000.0,,80000
2,4,3,2,6,3,,,,,,30000.0,150000.0,180000
1,4,4,2,1,3,,,,,,60000.0,150000.0,210000
2,4,4,2,6,3,,,200000.0,,,50000.0,,250000
1,4,5,2,1,3,,,,,,100000.0,300000.0,400000
2,4,5,2,1,3,100000.0,,,,,50000.0,,150000
1,4,3,1,1,3,,,,,,35000.0,,35000
1,3,3,3,3,5,,,,,130000.0,,,130000
2,3,3,3,2,6,,,,,,20000.0,,20000
1,4,4,1,1,3,,,,,,100000.0,200000.0,300000
2,4,4,1,1,2,,,,,,200000.0,400000.0,600000
2,4,3,3,2,5,,,,,,30000.0,100000.0,130000
1,4,4,2,1,6,,,,0.0,,30000.0,10000.0,40000
2,4,4,2,6,5,,,,,,30000.0,,30000
1,3,3,3,2,6,,,,,,30000.0,,30000
1,4,5,2,1,4,40000.0,,,,,50000.0,,90000
2,4,5,2,1,4,40000.0,,,,,30000.0,,70000
